id,city,state,station,latitude,longitude,aqi,pm25,pm10,no2,o3,co,so2,last_update,fetched_at,HEALTH_RISK_TIER
1,New Delhi,Delhi,"Mandir Marg, Delhi, Delhi, India",28.6139,77.209,117.0,72.0,117.0,2.9,15.6,0.7,7.9,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
2,Gurugram,Haryana,"Sector-51, Gurugram, India",28.4595,77.0266,181.0,181.0,104.0,8.8,27.9,2.2,3.3,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
3,Noida,Uttar Pradesh,"Sector - 62, Noida, India",28.5355,77.391,154.0,154.0,120.0,3.0,40.5,5.6,,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
4,Lucknow,Uttar Pradesh,"Gomti Nagar, Lucknow, India",26.8467,80.9462,162.0,162.0,76.0,4.4,22.0,8.5,4.8,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
5,Kanpur,Uttar Pradesh,"FTI Kidwai Nagar, Kanpur, India",26.4499,80.3319,105.0,105.0,66.0,9.8,5.4,6.0,21.4,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
6,Patna,Bihar,"Samanpura, Patna, India",25.5941,85.1376,157.0,157.0,78.0,6.1,8.1,4.4,2.0,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
7,Varanasi,Uttar Pradesh,"Maldahiya, Varanasi, India",25.3176,82.9739,79.0,79.0,50.0,1.1,5.2,1.8,12.3,2026-06-19 16:00:00,2026-06-19 10:51:59,Satisfactory
8,Agra,Uttar Pradesh,"Manoharpur, Agra, India",27.1767,78.0081,157.0,157.0,67.0,11.4,2.3,3.3,15.3,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
9,Chandigarh,Chandigarh,"Sector-25, Chandigarh, India",30.7333,76.7794,153.0,153.0,99.0,1.3,26.9,3.2,3.6,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
10,Jaipur,Rajasthan,"Police Commissionerate, Jaipur, India",26.9124,75.7873,100.0,100.0,53.0,12.6,14.7,11.2,8.0,2026-06-19 16:00:00,2026-06-19 10:51:59,Satisfactory
11,Mumbai,Maharashtra,"Kurla, Mumbai, India",19.076,72.8777,115.0,115.0,63.0,2.2,11.7,2.3,11.9,2026-06-19 16:00:00,2026-06-19 10:51:59,Moderate
12,Ahmedabad,Gujarat,"Maninagar, Ahmedabad, India",23.0225,72.5714,92.0,92.0,57.0,7.2,28.5,4.0,29.2,2026-06-19 16:00:00,2026-06-19 10:51:59,Satisfactory
13,Pune,Maharashtra,"Nerul, Navi Mumbai, India",18.5204,73.8567,25.0,25.0,26.0,21.9,,,7.3,2026-06-19 16:00:00,2026-06-19 10:51:59,Good
14,Surat,Gujarat,"GIDC, Ankleshwar, India",21.1702,72.8311,75.0,75.0,38.0,8.9,7.8,7.2,7.1,2026-06-19 16:00:00,2026-06-19 10:51:59,Satisfactory
